_Area,_Location,_Class,_Name,_19Jan,_19Feb,_19Mar,_19Apr,_19May,_19Jun,_19Jul,_19Aug,_19Sep,_19Oct,_19Nov,_19Dec,_20Jan,_20Feb,_20Mar,_20Apr,_20May,_20Jun,_20Jul,_20Aug,_20Sep,_20Oct,_20Nov,_20Dec,_21Jan,_21Feb,_21Mar,_21Apr,_21May,_21Jun,_21Jul,_21Aug,_21Sep,_21Oct,_21Nov,_21Dec,_22Jan,_22Feb,_22Mar,_22Apr,_22May,_22Jun,_22Jul,_22Aug,_22Sep,_22Oct,_22Nov,_22Dec,_23Jan,_23Feb,_23Mar,_23Apr,_23May,_23Jun,_23Jul,_23Aug,_23Sep,_23Oct,_23Nov,_23Dec,_19Total,_20Total,_21Total,_22Total,_23Total,_Total,_20Rate,_21Rate,_22Rate,_23Rate,_before,_after,_rate
Southern,Kaohsiung City,National Scenic Areas,寶來、不老溫泉區,18225,23473,20585,16604,18759,19474,17005,15968,19062,23052,22614,47561,41305,30628,28041,24038,25102,22737,23783,22690,21847,26502,26479,36412,43455,45502,39304,35920,28664,560,1185,21304,31812,31170,25734,43917,53285,44973,37256,44240,34312,29968,51818,38873,29053,30559,34869,51880,45595,54501,74638,64635,52724,56260,51017,25245,17068,24083,30151,43436,262382,329564,348527,481086,539353,1960912,25.6,5.75,38.03,12.11,756127,1153072,0.5249713341806337
Northern,Hsinchu County,Others,內灣老街,18245,26699,59799,163500,120614,135565,132329,116862,110403,132640,135048,127433,155057,135905,8552,7476,72944,77569,94700,168980,145692,214204,166859,160530,145687,183969,154419,180333,78910,3657,30010,73861,93358,129307,146009,169961,109772,143038,121119,147798,94991,115063,153524,118053,67740,96323,101393,106665,131966,127099,112809,143072,113539,107992,109061,101151,99817,81604,130122,120754,1279137,1408468,1389481,1375479,1378986,6831551,10.11,-1.35,-1.01,0.25,3352013,3293100,-0.017575409164582594
Southern,Pingtung County,National Scenic Areas,三地門遊憩區,18394,226525,89450,94069,41676,43763,56129,51801,40517,37871,37450,36835,44402,54018,44059,35804,46345,39249,45389,52398,40347,41554,38031,40693,35277,44787,34708,33729,31281,225,8716,29092,29234,33028,28734,30026,28668,38728,31668,34677,31794,29256,31437,34099,27943,32741,32240,13859,17823,14832,15390,15267,16137,16142,14411,15793,13856,15698,9903,12877,774480,522289,338837,367110,178129,2180845,-32.56,-35.12,8.34,-51.48,1445270,666261,-0.5390058604966546
Eastern,Taitung County,Museums,卑南遺址公園,18491,20789,19201,18673,15143,14876,20775,18194,17504,20250,23559,23061,28727,24802,20394,22239,17588,26642,37168,38407,31305,40356,40282,34074,31197,32621,31025,32947,22837,15092,19235,20698,21518,26586,30754,33681,29296,32038,28480,29088,18707,22029,28607,27995,24782,25467,24023,31376,28193,23638,24939,30131,23224,25423,25152,24617,19739,27568,26981,31780,230516,361984,318191,321888,311385,1543964,57.03,-12.1,1.16,-3.26,720290,745812,0.03543295061711255
Southern,Pingtung County,Others,墾丁海水浴場,18752,20775,21859,20194,20637,23703,22079,22052,20674,21946,19391,17573,17599,18745,19428,11850,20382,24829,25948,24014,23059,24199,20340,17149,13491,19056,24067,19930,10788,0,1079,10602,15236,20223,23059,21628,17493,14891,20674,16006,10178,18365,24517,22953,21546,19269,19161,17599,13703,16471,147179,14774,13597,18442,17970,15452,12363,12537,15185,11821,249635,247542,179159,222652,309494,1208482,-0.84,-27.62,24.28,39.0,573721,612292,0.06722954188534148
Southern,Tainan City,National Scenic Areas,柳營尖山埤渡假村,18961,27071,23546,28142,23706,18759,18624,12720,26918,29865,30130,26107,27331,9593,13666,7745,6611,13708,18883,22421,30733,29047,28552,28341,18751,18162,21709,21606,6797,2402,4651,5473,10684,13062,19452,18390,12372,15086,14973,13001,4336,5518,14033,16564,24490,20296,12849,15594,20150,12985,13085,21509,11965,16046,17193,13599,13910,18963,17298,18773,284549,236631,161139,169112,195476,1046907,-16.84,-31.9,4.95,15.59,601408,426176,-0.29136958603809726
Southern,Kaohsiung City,Others,金獅湖風景區,19646,21647,22467,26889,27441,28032,28932,29091,31280,31513,31555,40778,39819,36399,36317,36866,34957,36779,36234,35958,36236,36656,36729,39007,39858,40776,41688,43012,18734,14765,14793,16162,17237,18486,18645,18766,129595,120777,138593,123765,108296,129112,159997,165484,188117,152476,177430,188117,204369,167595,193581,181384,175650,159285,160891,171518,169794,177986,173090,189882,339271,441957,302922,1781759,2125025,4990934,30.27,-31.46,488.19,19.27,946562,3979918,3.204603607581965
Eastern,Hualien County,National Parks,布洛灣遊憩區,19830,18613,16557,14008,15667,20385,18991,13998,13677,20581,19074,14624,15951,11153,9817,7122,7812,10316,17740,27531,34097,40412,37033,28741,37478,38790,39779,39584,17430,254,5167,10557,13227,20859,36381,43746,31511,44538,15835,33710,16315,32599,53855,56387,67020,57329,57611,70739,60793,65189,75315,96452,84362,88445,87015,58132,54547,82403,94504,79708,206005,247725,303252,537449,926865,2221296,20.25,22.41,77.23,72.46,609361,1578527,1.5904627962734734
Northern,Yilan County,National Scenic Areas,宜蘭濱海遊憩區,19888,35990,22061,31784,24459,24824,48147,20101,1490,503,124,651,15425,23228,18001,7504,12656,17332,19930,25623,22677,27972,24374,15947,18308,25394,17441,22254,8433,0,368,724,1599,2322,11963,17323,16858,21263,19791,17620,11580,15609,23305,21770,20412,23109,18839,20018,24046,17406,16542,22820,18644,17967,18624,21107,16974,22181,18170,20183,230022,230669,126129,230174,234664,1051658,0.28,-45.32,82.49,1.95,544088,498045,-0.08462417844172267
Eastern,Hualien County,National Scenic Areas,石梯坪,20022,31159,31386,30868,29015,24672,27764,24058,15766,21196,17148,16166,19647,13699,8704,8611,10066,18317,28324,32040,23137,31912,23349,8117,13340,20755,13509,14326,6877,0,2567,10575,8972,11226,14893,13865,7227,13400,8598,9126,4311,8330,14836,14464,10719,10833,9246,10993,14807,10570,9305,18548,11618,17312,19891,20715,19297,17685,21691,18698,289220,225923,130905,122083,200137,968268,-21.89,-42.06,-6.74,63.94,577073,371176,-0.3567954140983896
Southern,Chiayi County,National Scenic Areas,達娜伊谷,20047,23644,38801,41940,53060,38448,31732,27939,12450,17345,17250,14964,8711,5973,3645,4133,4913,7665,11566,13005,12303,14475,15839,12449,7337,9038,9238,11116,4145,0,0,1567,4602,9546,11939,9866,5295,7273,6786,6941,2216,4635,11304,10928,7617,8716,7835,7244,7241,5490,7235,8096,7948,7911,8632,4325,3752,6833,5483,5273,337620,114677,78394,86790,78219,695700,-66.03,-31.64,10.71,-9.88,489026,200962,-0.5890566145767301
Northern,Hsinchu County,Leisure Agriculture Areas and Leisure Farm,綠世界休閒農場,20200,66200,40200,40150,33900,29200,28450,29830,22650,42300,39500,21000,29740,30000,18000,16480,23950,32480,33500,36600,25700,42950,45050,24460,39700,51000,31820,53290,18400,0,5630,20950,22200,34400,45400,42700,25800,32400,45150,28140,16400,22200,32500,40000,23030,44600,44060,29225,61280,59600,38000,50600,29380,33200,31500,31400,21900,30300,37600,32500,413580,358910,365490,383505,457260,1978745,-13.22,1.83,4.93,19.23,948300,985465,0.039191184224401564
Eastern,Taitung County,Leisure Agriculture Areas and Leisure Farm,初鹿牧場,20389,41873,19385,19367,13234,20369,49535,31795,17826,24597,17733,19208,36996,30010,14957,14980,11922,29930,60880,72367,25921,40230,27402,26059,33918,59272,26041,29730,12439,0,3042,21254,22760,28036,30929,34681,34059,50540,18686,17144,9413,20476,58494,52709,24324,22898,19673,25805,60902,38385,60902,35786,16922,26926,46625,50365,16077,26611,22470,30228,295311,391654,302102,354221,432199,1775487,32.62,-22.87,17.25,22.01,835926,902826,0.08003100752937461
Northern,New Taipei City,National Scenic Areas,白沙灣,20886,28860,35505,69305,88343,141474,199395,151585,110704,107464,36219,23557,27412,36938,55382,58268,101138,124951,113617,100239,55092,59052,34437,27273,28795,53333,41263,60109,46701,7064,3014,44844,78580,64745,39381,26937,22898,28819,50078,70235,56801,81944,90357,67457,48062,49746,41932,22361,34772,38721,51980,51980,58917,96632,113457,50563,79650,117366,57614,35308,1013297,793799,494766,630690,786960,3719512,-21.66,-37.67,27.47,24.78,1990596,1627293,-0.1825096604233104
Northern,Taipei City,Others,美麗華摩天輪,20961,23898,17390,17109,16566,17566,19544,21065,13470,19045,17250,21846,20572,11828,6795,4985,8545,10148,12371,16452,10893,16267,10937,12434,10949,13787,9653,10490,3561,0,0,5501,5909,9172,8957,11582,8925,10847,8628,7251,4465,7612,11380,13267,8145,9613,10993,15959,19254,15641,11649,15755,12806,14284,17482,15026,10727,13573,12599,17055,225710,142227,89561,117085,175851,750434,-36.99,-37.03,30.73,50.19,412816,328556,-0.20411030580210068
Central,Taichung City,National Scenic Areas,梨山遊憩區,21444,55955,31175,22125,12403,25488,32562,18361,26422,61340,98270,47395,30507,51345,24838,24690,17070,38406,44417,42839,30442,74472,100543,62843,29916,62855,34229,32442,12804,375,5197,13062,16679,41022,100243,70277,27237,73611,55137,22156,8273,8273,39643,39072,23294,41880,75537,54713,37809,70085,49495,34528,18967,29487,30831,16631,17901,48619,79698,56548,452940,542412,419101,468826,490599,2373878,19.75,-22.73,11.86,4.64,1154794,1187646,0.028448363950626693
Northern,Keelung City,National Scenic Areas,和平島公園,21597,39645,41458,53800,47849,56222,54993,60850,61589,75670,52931,39880,30737,20794,22157,24544,54292,75459,76066,86609,53715,73209,43693,20163,25947,48605,34275,51344,26855,0,7087,40784,49818,42165,28712,22135,15203,19811,30042,22005,17196,50305,94936,72093,46015,38689,30000,16040,25698,24523,28733,58495,47594,56074,62612,50334,45161,47124,35536,26823,606484,581438,377727,452335,508707,2526691,-4.13,-35.04,19.75,12.46,1348093,1103872,-0.18116035021322713
Central,Taichung City,Municipallevel and Countylevel Scenic Area,鐵砧山,21635,24498,25835,27920,28028,34686,78773,53816,71127,49096,28360,25147,39978,25663,23836,28083,28175,34753,34550,54880,74468,112435,118220,87545,61680,111959,53910,49440,15779,0,3064,10812,5653,7282,10561,7383,19116,27322,25444,24837,17649,16200,22119,20334,20879,21491,19162,16397,25799,20388,22412,27682,30283,28004,28295,29889,40170,33505,37764,27341,468921,662586,337523,250950,351532,2071512,41.3,-49.06,-25.65,40.08,1408496,633361,-0.5503281514466495
Southern,Tainan City,National Scenic Areas,北門遊客中心,21672,66637,37599,36513,24995,28191,21181,18727,25176,37294,33265,31975,41679,21601,16444,17187,16675,23515,22009,23958,24057,48789,32772,27490,26530,51417,32134,31413,13197,272,1431,8628,16202,30926,33422,37741,28171,40496,36591,30526,14892,19510,38425,30960,39011,53618,60029,59179,63844,20765,23047,38973,30549,28451,22187,14898,15827,31102,26925,27525,383225,316176,283313,451408,344093,1778215,-17.5,-10.39,59.33,-23.77,840895,913792,0.0866897769638302
Northern,New Taipei City,Museums,林本源園邸(林家花園) ,21896,27972,21431,22678,22771,15519,13682,18087,15752,26286,28735,55693,35677,22750,7227,0,199186,10527,11686,15168,21382,34966,24594,24024,16959,18457,15480,18822,5671,0,140,1076,830,10046,13933,17033,10458,10068,12474,8296,5106,5839,7089,8675,8217,12350,14878,14708,18303,14717,14751,17483,12282,11351,9427,10528,10180,15872,15261,18372,290502,407187,118447,118158,168527,1102821,40.17,-70.91,-0.24,42.63,767407,328527,-0.5718999175144349
Eastern,Hualien County,National Parks,南安遊客中心,21924,26010,26386,28353,24358,28632,34775,31287,28446,30436,25996,26551,30899,27033,27279,29949,31663,39123,40541,39847,32601,37335,28344,29379,29566,34530,26708,28022,25852,15083,22058,29543,32413,30016,28242,31187,27202,28077,25487,25314,19597,27631,36668,33544,26519,24141,23886,26688,26425,22681,23770,27181,23572,23351,24778,23367,17458,20660,22046,19722,333154,393993,333220,324754,275011,1660132,18.26,-15.42,-2.54,-15.32,845973,721623,-0.14699050678922376
Eastern,Taitung County,Others,金針山休閒農業區,22000,28000,16000,11000,9200,14000,22000,24000,10100,5600,6400,18000,23000,30000,14000,21000,20000,64000,66000,87100,62400,35000,33000,17000,23000,65000,24000,22000,4500,300,600,17000,19000,17000,47626,16000,24000,25850,14000,11000,4500,17000,21000,27500,17000,15000,2900,3600,23000,17500,11000,10500,3800,11600,8500,16800,16000,12000,4800,5000,186300,472500,256026,183350,140500,1238676,153.62,-45.81,-28.39,-23.37,792800,423476,-0.4658476286579213
Southern,Pingtung County,National Scenic Areas,霧臺遊憩區,22468,29136,26308,22187,11539,14512,10994,7328,17712,20580,21464,18115,27186,36838,27555,17314,16591,19333,16465,14855,17611,25958,20315,20685,28408,24999,30507,29273,10854,265,997,5047,11280,13128,17257,16847,16892,19521,21898,20371,8866,19536,13052,12775,10336,12754,14182,14321,17769,26615,29488,33453,18820,15801,13820,7461,11563,23704,22954,23364,222343,260706,188862,184504,244812,1101227,17.25,-27.56,-2.31,32.69,596236,487828,-0.1818206213646945
Southern,Kaohsiung City,Museums,高雄市立歷史博物館,22685,33339,20736,23545,26260,28043,31162,32957,25823,24842,22608,30087,33318,13245,5822,4705,6611,11949,5289,15238,20244,23699,18677,20074,16779,18447,10628,12163,10286,0,2241,8393,8781,14021,10639,13939,12930,28701,29122,24223,20578,23887,27136,29224,26172,30825,28496,32000,32537,27559,33237,31174,24585,31657,26346,29703,23150,26275,24970,27790,322087,178871,126317,313294,338983,1279552,-44.47,-29.38,148.02,8.2,558975,699657,0.2516785187172951
Northern,Hsinchu County,Others,小叮噹科學主題樂園,22997,29197,28924,33647,20801,20310,41719,44106,24554,31675,25057,21635,19439,11454,3714,2912,5947,21957,64652,85721,25789,34257,24943,17612,15925,19497,17058,29817,7964,0,706,12704,9739,21907,26149,28176,13625,18431,21459,13569,3783,9094,35657,50401,28109,31398,22997,25708,33893,35134,29187,41759,30632,26028,53413,56886,37322,41478,38522,36957,344622,318397,189642,274231,461211,1588103,-7.61,-40.44,44.6,68.18,745316,821413,0.10210031718090044
Northern,New Taipei City,Others,前清淡水關稅務司官邸 (小白宮),23134,22260,19777,17943,15027,12748,13046,13748,12365,23724,19567,21428,21051,9426,3762,0,4279,7290,6994,7393,7400,16947,12957,9920,9473,8480,6719,10244,2128,0,82,823,1077,6454,9228,9322,5539,6138,8289,6640,3711,3994,6195,6300,6780,8615,10900,9863,15283,13596,12339,14791,10346,9378,8648,8449,10468,17874,19630,20475,214767,107419,64030,82964,161277,630457,-49.98,-40.39,29.57,94.39,357102,270322,-0.24301180054998292
Northern,Taipei City,Museums,凱達格蘭文化館,23803,8385,5368,0,0,0,0,29569,34578,46960,53539,36577,20222,19246,13039,8494,10715,16012,24357,38707,27682,23507,20403,18453,16758,9844,15362,15953,6757,0,1355,9905,11749,15740,15351,16697,9461,7439,12102,10106,9294,12947,23271,23605,29365,27720,23137,26718,19940,21745,25985,14999,13508,15287,26548,26836,26638,33366,36210,33761,238779,240837,135471,215165,294823,1125075,0.86,-43.75,58.83,37.02,537533,569525,0.05951634597317746
Northern,Taipei City,National Parks,冷水坑,24167,44003,46344,45917,37508,54834,59303,67573,46038,58419,74151,59243,43952,46861,58151,28272,35572,45194,58141,49737,37474,53017,49737,36609,45076,37350,36986,53933,23061,2714,7777,19289,25368,25641,46195,38351,23806,24165,36458,33436,15970,36410,46164,42219,28492,32949,50599,29433,49030,53428,47496,61543,50953,69372,68207,55318,74631,78847,110891,63328,617500,542717,361741,400101,783044,2705103,-12.11,-33.35,10.6,95.71,1333562,1318700,-0.011144588703037429
Eastern,Hualien County,Others,遠雄海洋公園,25100,60883,34841,41505,23646,41914,76381,60603,39399,48636,33548,31480,52874,39404,18235,17122,26995,63575,166204,185382,50003,67004,38282,34101,35685,58827,28888,47702,20291,0,5289,41753,28112,48217,52509,44672,43345,61964,42346,41484,13750,41256,128759,171189,69794,54234,38261,53713,71777,51549,37539,64666,40331,61410,99797,107019,36908,54003,42810,48133,517936,759181,411945,760095,715942,3165099,46.58,-45.74,84.51,-5.81,1448219,1649547,0.139017648573869
Southern,Pingtung County,National Parks,南灣遊憩區,25673,38780,41976,48566,50195,61229,50184,42026,20354,23802,15840,12979,14057,7044,7636,8766,12358,32364,37553,36275,39099,45221,22872,14344,14305,33493,24784,42865,21597,0,1434,27437,38825,46920,26387,18865,17814,32128,20538,17019,19773,36476,57042,54262,41591,54262,19332,13328,20759,18911,15230,37202,29304,50238,52059,42657,23784,35306,17254,13330,431604,277589,296912,383565,356034,1745704,-35.68,6.96,29.18,-7.18,824640,870596,0.055728560341482346
Southern,Tainan City,National Scenic Areas,虎頭埤風景區,25732,36529,25791,26608,27766,28186,20435,16813,26108,35328,29483,24422,31398,31341,35336,29758,31214,34586,27314,25006,28618,38299,32757,31495,27913,40416,30957,29620,20222,0,7004,12710,17615,26379,29954,30607,25861,43699,29544,31688,26779,28912,28001,23220,25933,35302,32575,34528,54482,44700,36120,45958,37617,27602,22336,23026,21528,36205,29859,34355,323201,377122,273397,366042,413788,1753550,16.68,-27.5,33.89,13.04,829229,884385,0.0665147986864907
Central,Nantou County,Others,杉林溪森林生態渡假園區,26065,47584,57326,69108,34640,68515,77102,36579,48196,58243,83854,40672,29043,36584,34666,23992,25611,87004,116530,86922,53618,67239,99397,53635,26345,39979,72062,83099,29550,0,9423,20257,30162,49552,128637,74332,29538,59924,68650,55728,15137,51795,85181,77064,53773,70076,106326,66422,43518,64570,80830,80989,55033,79843,84572,51180,42828,59630,115130,73077,647884,714241,563398,739614,831200,3496337,10.24,-21.12,31.28,12.38,1583610,1853497,0.1704251678127822
Northern,New Taipei City,Museums,新北市立十三行博物館,26202,39713,32391,38794,99058,73710,47183,52667,47284,75937,46223,38995,35423,32293,24294,20963,45854,57166,51234,102056,45813,74059,55057,35516,37068,38722,32126,43123,40564,0,6059,14124,11425,36352,39341,36416,27547,36387,37463,36007,26534,38793,64943,44502,30723,40099,34825,36939,48719,40280,40527,84586,32822,40501,82997,45517,39356,44356,40105,40957,618157,579728,335320,454762,580723,2568690,-6.22,-42.16,35.62,27.7,1348924,1159019,-0.14078257930024227
Central,Taichung City,Others,臺中都會公園,26688,32632,28412,37031,35781,34233,29639,21406,38016,46467,47678,30713,30600,36986,54238,52084,45648,32661,32976,32669,33153,55764,46917,31997,39776,45253,45847,44078,33327,20349,33115,30562,36489,49496,41666,37909,32375,38300,36382,44695,33345,34663,35524,32959,34155,41296,37314,50911,35484,30974,35401,42994,31576,25494,28742,22673,24152,39562,39392,41443,408696,485693,457867,451919,397887,2202062,18.84,-5.73,-1.3,-11.96,1069343,1015366,-0.050476788083898244
Southern,Pingtung County,National Scenic Areas,臺灣原住民文化園區,26819,36954,42547,33313,33070,18403,22659,26029,49851,44463,33270,18967,35437,26820,19888,8391,9840,10041,12056,11308,9322,19229,14403,14345,14373,29034,20951,18169,6477,0,492,2646,10192,16208,17718,17228,13137,29377,15411,11542,4704,5494,45747,11305,17371,18193,14353,18799,29880,15122,10880,25866,10293,13457,9450,9628,17462,26148,18487,20926,386345,191080,153488,205433,207599,1143945,-50.54,-19.67,33.84,1.05,659952,474378,-0.2811931776856499
Central,Taichung City,Temples,萬和宮,26960,51080,22100,28600,21300,21950,24090,13500,26300,26300,22200,21800,57090,27720,21100,23514,19631,19734,20037,16371,21046,24570,20880,18360,23280,59116,21700,21414,14277,2640,6600,13185,20488,16926,16971,19800,29700,36300,17985,18150,13695,14300,17820,11880,19800,17600,15840,17150,49500,17325,19360,16500,23760,16500,19800,14760,19650,14475,19800,17600,306180,290053,236397,230220,249030,1311880,-5.27,-18.5,-2.61,8.17,721743,553435,-0.23319658105447508
Southern,Pingtung County,National Scenic Areas,大鵬灣遊憩區,27091,8552367,5103852,129340,48600,51442,37980,28481,34827,45168,33763,32847,42322,26220,18766,24519,25204,52776,76918,74238,72545,106297,75938,69319,56897,78513,55064,67932,48361,13224,18577,31694,44039,53763,63229,80095,86729,107576,73714,104126,72937,85012,148343,262396,195405,190618,144291,169179,222313,145256,148525,235011,155332,161685,138529,121625,120125,148989,139330,162268,14125758,665062,611388,1640326,1898988,18941522,-95.29,-8.07,168.3,15.77,15049226,3780440,-0.7487950543104342
Eastern,Hualien County,National Scenic Areas,花蓮觀光糖廠,27188,67619,38609,46225,30955,44441,59587,58828,39977,39192,28736,23687,47829,39496,31840,30576,40027,59486,71155,73516,46464,53760,33538,22853,26808,61511,35715,39565,21412,0,13591,42737,35512,31392,25544,26276,25587,47592,29449,29310,15491,32077,65997,64823,78601,37107,23628,23101,70941,40512,31645,51158,32306,41725,57159,62058,156401,154050,148350,123737,505044,550540,360063,472763,970042,2858452,9.01,-34.6,31.3,105.19,1219183,1561529,0.2807995190221648
Central,Nantou County,National Parks,塔塔加遊憩區,27352,34907,35222,35030,20767,34606,35373,22122,51528,70039,61916,48972,51931,46890,48327,47220,50851,78256,96966,68315,58332,79345,63976,60554,57816,68858,64606,64482,51361,14145,17509,28293,47107,66647,59182,63887,53805,53650,50503,54448,28376,51825,74884,66486,43477,66930,66468,58534,59370,51336,55614,59633,48063,55010,57581,34340,36349,53123,74990,69964,477834,750963,603893,669386,655373,3157449,57.16,-19.58,10.85,-2.09,1484559,1561582,0.051882747671193934
Northern,Taipei City,National Parks,龍鳳谷遊憩區,27659,53265,131849,133843,43516,82158,44290,41467,51423,33778,34252,36266,44468,35513,73930,41460,29453,28932,25854,28364,33624,45372,35417,32719,49719,48486,115274,120591,18098,2951,4898,18330,26895,38354,42257,34452,37981,60868,134428,126255,22051,20289,22630,22804,25921,26214,23908,28361,35270,22790,66420,89902,25115,23723,26655,20117,12910,19133,17687,22641,713766,455106,520305,551710,382363,2623250,-36.24,14.33,6.04,-30.69,1502942,1076031,-0.2840502161760068
Northern,Taipei City,National Parks,小油坑遊憩區,28108,40606,39406,44955,37215,45312,37499,33254,30628,45888,42434,43712,38537,26902,24238,19678,32599,42561,40692,33943,22520,38685,33943,16916,32288,29753,29314,35451,14230,471,4088,10417,19098,22511,18608,13781,11633,20692,24159,18898,8080,24259,34135,29833,15950,13388,10938,7264,20190,26116,39875,44165,31069,35408,45902,38047,35843,43172,42514,31017,469017,371214,230010,219229,433318,1722788,-20.85,-38.04,-4.69,97.66,967037,726545,-0.24868955376061103
Northern,Taoyuan City,Others,桃園市客家文化館,28284,31527,46682,52252,58473,51319,56057,54984,45559,63049,64950,44033,27249,26248,21464,20208,38788,31487,37400,66364,56460,63749,57891,34319,30390,24806,33286,60618,39892,20332,22038,25089,25233,42624,57078,41388,19054,20988,29542,30825,24829,35817,42507,54102,35208,49459,48068,27904,33516,30592,30492,66026,84360,61454,60151,61833,56855,61418,63733,51059,597169,481627,422774,418303,661489,2581362,-19.35,-12.22,-1.06,58.14,1227896,1246115,0.014837575820753549
Eastern,Taitung County,Municipallevel and Countylevel Scenic Area,台東森林公園,28839,40659,42300,35039,19422,18157,33393,62591,17875,28709,27296,24582,34965,28454,13482,14330,9948,23000,37937,146279,31262,41053,38707,24727,29951,40156,21176,48251,9543,0,9240,13306,13026,19655,28088,27528,25685,33318,21801,23944,6796,11293,27474,26051,20450,58379,17552,21083,32587,24377,31958,43332,16620,15848,19997,20350,9334,16481,17492,22462,378862,444144,259920,293826,270838,1647590,17.23,-41.48,13.04,-7.82,962540,652961,-0.32162715315727136
Northern,Taipei City,National Parks,大屯遊憩區,28853,76943,48256,58579,51847,45953,80894,53030,31455,47110,38052,7643,10671,34546,51122,41056,39395,53302,50177,49548,33624,34116,27592,21340,40652,31452,33538,40628,24208,2302,32925,33581,50740,36813,26333,21219,18989,12510,31139,38302,23947,36476,49299,42514,26437,23972,22245,17453,25656,23525,31820,29894,27478,30600,38307,32373,36888,26564,25144,25071,568615,446489,374391,343283,353320,2086098,-21.48,-16.15,-8.31,2.92,1161374,831708,-0.28385860196629165
Central,Taichung City,Others,武陵農場,29089,136131,49400,19930,11170,18717,29715,18109,18159,28769,50389,34202,31738,120875,34879,13598,13446,26794,39051,36160,22555,36731,61989,44349,34256,123665,64779,25895,9703,0,5908,14545,16122,26347,60295,51316,31070,157668,41007,20743,6404,17058,33649,28105,19327,21420,55266,42193,37364,144651,42457,24136,14697,18501,23050,14266,10931,16813,42528,32917,443780,482165,432831,473910,422311,2254997,8.65,-10.23,9.49,-10.89,1174540,1050301,-0.10577672961329541
Northern,Taipei City,Museums,台北探索館,29386,18645,14216,9868,15340,15143,17774,19330,16318,22672,30299,22489,14367,9542,1095,628,2450,5280,12461,43843,24405,29804,21792,24445,28295,14273,5257,5774,1948,0,0,1582,10616,21904,25742,17571,3035,2131,4578,2200,1316,2881,26494,35602,15758,21464,18033,12402,5045,9137,7236,9618,8614,29825,45385,36737,18911,24357,21762,17073,231480,190112,132962,145894,233700,934148,-17.87,-30.06,9.73,60.18,475191,455427,-0.04159169681243963
Southern,Kaohsiung City,National Scenic Areas,茂林遊憩區,29957,37399,28122,15741,16803,28858,11166,10440,10209,17590,16828,40059,33764,32490,23509,57930,25625,29160,27860,24494,25240,30045,30384,42368,34907,34551,25851,26698,15864,0,9793,7582,14013,22996,32244,43813,36641,34241,23807,24252,21109,22833,29220,28200,29705,31854,34592,41815,39888,33045,26504,26370,21859,25413,28139,22163,21942,29353,31900,32118,263172,382869,268312,358269,338694,1611316,45.48,-29.92,33.53,-5.46,768048,810029,0.05465934420765369
Central,Changhua County,Others,扇形車庫,30478,43466,32532,16743,18187,33183,31147,33199,28373,34454,30640,28666,32642,31172,20794,11411,1931,9384,8687,9127,14452,32636,26474,32360,35149,44710,32143,40792,14072,0,0,0,0,0,30104,35412,32892,49595,37838,31468,15011,21119,45124,44367,30617,36314,28745,36594,52442,45295,31535,61279,34256,31624,38055,37632,28766,41912,39076,45602,361068,231070,232382,409684,487474,1721678,-36.0,0.57,76.3,18.99,744932,962674,0.29229782047220415
Northern,Yilan County,Forest Recreation Areas,太平山國家森林遊樂區,31038,46912,36808,35019,33153,46025,62901,44072,39403,57711,54864,37881,35925,40955,20117,21455,27116,43761,70687,91646,50013,78612,73648,54960,71200,59841,41128,44353,18393,718,1766,16937,20815,27072,52599,58012,45653,46134,36794,31395,24614,25178,70750,79987,41026,28181,40589,45424,54783,44278,32855,43819,30871,33229,46917,37684,27330,42617,52011,49936,525787,608895,412834,515725,496330,2559571,15.81,-32.2,24.92,-3.76,1351204,1170553,-0.1336963182465416
Northern,Taoyuan City,Others,小人國主題樂園,31335,84346,53583,64201,40055,55822,89326,86506,40318,67479,59872,42047,43941,30867,12238,9653,21318,53593,122488,156707,22486,49064,45282,20790,17290,35267,43199,55522,14919,0,981,21116,23781,33000,48200,46197,18543,32110,35669,28022,10897,93677,80113,130481,39810,47105,47246,35100,61275,48328,34936,61026,38435,34391,66326,78866,25946,45614,46308,35108,714890,588427,339472,598773,576559,2818121,-17.69,-42.31,76.38,-3.71,1454595,1326510,-0.08805543811163932
Northern,Taipei City,Others,國立臺灣藝術教育館,31653,25186,23877,36932,21640,24520,34826,30664,23137,25060,29365,21735,30701,21757,16689,15777,18604,23597,29547,30040,25112,21128,24567,22711,28728,20848,26692,31711,11514,0,2048,11114,17714,16613,19110,16478,21610,22000,27909,30898,20521,23917,58128,44954,32687,14871,32918,23822,32807,32677,31553,42456,28666,26567,38333,35979,29995,35607,44873,31377,328595,280230,202570,354235,410890,1576520,-14.72,-27.71,74.87,15.99,716804,835040,0.16494885631218575
Northern,Yilan County,Municipallevel and Countylevel Scenic Area,龍潭湖,32820,39397,40970,35727,37486,33976,25614,20907,28607,41062,37036,31938,36669,27393,19207,18350,15692,23093,24549,222974,25006,40518,28611,20559,23952,26118,24274,23376,7604,0,432,10422,11250,14256,22808,27138,17296,14277,16624,13316,6152,5990,6632,7576,7854,10530,13002,12292,12719,11575,9645,17518,13990,10096,8330,8138,8874,16251,16875,12410,405540,502621,191630,131541,146421,1377753,23.94,-61.87,-31.36,11.31,1005881,353414,-0.6486522759650496
