_Name,2019年遊客量,2020年遊客量,2020變化率,2021年遊客量,2021變化率,2022年遊客量,2022變化率,2023年遊客量,2023變化率
茂林遊憩區,263172,382869,45.48,268312,-29.92,358269,33.53,338694,-5.46
飛牛牧場,267783,263116,-1.74,249479,-5.18,212778,-14.71,219668,3.24
香格里拉樂園,51543,38257,-25.78,36295,-5.13,41835,15.26,210,-99.5
原生應用植物園,149985,169017,12.69,111593,-33.98,144062,29.1,117313,-18.57
埔心牧場,531755,557842,4.91,378792,-32.1,391138,3.26,523370,33.81
扇形車庫,361068,231070,-36,232382,0.57,409684,76.3,487474,18.99
桃園市客家文化館,597169,481627,-19.35,422774,-12.22,418303,-1.06,661489,58.14
泰雅渡假村,81076,44628,-44.96,33054,-25.93,35301,6.8,50867,44.1
烏山頭水庫風景區,238928,304527,27.46,168514,-44.66,304772,80.86,264435,-13.24
烏來風景特定區,2147700,1316500,-38.7,989160,-24.86,1328200,34.28,2033528,53.1
烏樹林休閒園區,77719,46880,-39.68,59257,26.4,64115,8.2,73767,15.05
紙教堂見學園區,178572,149109,-16.5,97316,-34.73,98825,1.55,75006,-24.1
草悟道,6591445,5791380,-12.14,5167521,-10.77,5649855,9.33,7294431,29.11
草嶺,658300,710000,7.85,491250,-30.81,612600,24.7,847000,38.26
高美濕地,1448820,1077616,-25.62,529092,-50.9,452612,-14.45,368355,-18.62
高雄市文化中心,1817345,1334170,-26.59,885650,-33.62,1889668,113.37,1863422,-1.39
高雄市立美術館,606043,410955,-32.19,714360,73.83,1461406,104.58,1853119,26.8
高雄市立歷史博物館,322087,178871,-44.47,126317,-29.38,313294,148.02,338983,8.2
國民革命忠烈祠,1638495,166356,-89.85,17468,-89.5,22459,28.57,436797,1844.86
國立中正紀念堂,5207998,1577122,-69.72,746346,-52.68,1099300,47.29,3202377,191.31
國立自然科學博物館,2650102,2262500,-14.63,1566116,-30.78,2299808,46.85,2738348,19.07
國立自然科學博物館鳳凰谷鳥園生態園區,144112,200678,39.25,178157,-11.22,216418,21.48,188783,-12.77
國立故宮博物院,3832373,642163,-83.24,416836,-35.09,557288,33.69,1552190,178.53
國立故宮博物院南部院區,1049262,1055381,0.58,736487,-30.22,1039895,41.2,954296,-8.23
國立科學工藝博物館,2058991,1686225,-18.1,1169467,-30.65,1875372,60.36,2026078,8.04
國立海洋生物博物館,1022108,974950,-4.61,619877,-36.42,935949,50.99,978032,4.5
